,BAP1,EPAS1,NF2,PTEN,TSC1,VHL,Y
0,33.67729431,37.95811,33.9608,36.73944,32.93402,32.30615,1
1,32.64314903,38.83281,33.69899,37.13114,33.1663,32.19988,1
2,32.36886592,37.19345,34.07472,37.91878,33.63282,31.49147,1
3,31.89539977,39.46713,33.14612,37.77827,32.8825,32.11538,0
4,33.96834807,38.49884,32.58079,37.99008,33.44515,33.33646,1
5,33.65253266,37.78717,34.48873,37.35848,32.87762,32.85442,1
6,32.63333485,37.26115,33.95985,35.90397,34.09818,31.61337,0
7,32.84343927,36.84683,34.45946,36.2205,33.38182,31.10226,0
8,32.6601447,39.13267,33.40467,36.99773,33.36926,32.53684,1
9,33.61841147,38.05661,33.05416,34.72746,33.0913,30.84539,1
10,33.03183581,38.48123,33.77528,36.04017,33.30005,32.4506,0
11,33.2581978,38.39817,33.79103,37.08172,33.69206,31.51755,0
12,33.22810975,38.34336,34.68184,36.26808,33.84394,31.13415,0
13,33.552945,38.16606,33.44291,35.61627,33.25188,32.75366,0
14,33.69244186,36.67863,34.71096,35.8713,33.32503,32.65044,0
15,33.52923201,39.15707,33.22412,35.5696,33.55346,32.45489,0
16,33.43930867,37.99765,33.78669,35.78921,31.58024,32.03593,0
17,33.376406,37.16011,32.94832,35.73359,32.69427,30.92365,0
18,32.49690704,37.55787,33.06301,35.24093,33.70015,31.74634,1
19,33.22626382,37.93249,35.29129,37.0071,33.4082,32.89678,0
20,32.38072384,36.31018,33.03855,36.09633,33.27613,32.64736,1
21,32.73490529,37.82743,34.42555,36.58067,34.03645,32.61222,1
22,34.2082506,38.2906,34.03796,35.14085,32.99361,32.12949,1
23,33.59551682,38.0228,33.30063,35.98864,32.89121,32.03143,0
24,32.74452131,35.66616,33.95919,36.17544,32.66428,33.92074,1
25,32.71060828,38.07107,33.34139,36.85031,32.17923,31.39375,0
26,32.2240865,37.26878,33.39728,37.02355,31.39947,31.32365,1
27,33.23384051,39.31331,34.56479,36.77963,33.85497,32.36932,0
28,33.68443072,37.72016,34.30464,36.16043,32.31233,33.07403,0
29,33.49284232,37.91654,33.83947,35.71361,32.72354,32.26444,0
30,32.89257041,37.06045,32.99015,36.97114,32.89436,32.18444,0
31,33.92418113,38.88147,32.42807,35.27228,33.38167,29.55647,1
32,33.48215132,36.74275,34.14983,36.49972,32.70867,32.07804,0
33,32.49201018,37.95201,33.34783,36.89801,33.39661,32.19045,0
34,33.38601925,37.04465,33.93609,37.58374,31.78938,31.0072,0
35,33.16089491,38.31093,33.92941,36.6287,32.72168,31.90031,1
36,32.87289636,38.49299,33.90075,37.1101,33.53046,31.35354,1
37,33.0926036,38.30625,33.59144,37.6299,33.33124,30.8842,1
38,30.62522282,37.93276,33.25872,36.26911,32.73166,31.17131,1
39,33.06658648,37.57839,34.18658,36.85926,32.87974,32.3053,1
40,32.57990639,35.23492,34.84638,37.70073,33.07849,30.89403,0
41,32.50566564,38.4452,33.60426,37.95014,32.80056,31.16832,0
42,32.60498455,36.61642,34.0974,36.74205,32.37043,30.68011,1
43,34.61933815,38.00481,34.03372,35.13166,32.82349,32.08039,1
44,32.58586389,37.89336,34.11393,36.58375,33.29182,32.71556,0
45,32.18714302,36.9876,34.23243,35.74978,32.65885,31.87425,0
46,33.58688429,38.35481,34.0885,35.82186,33.82437,32.35922,0
47,33.3055895,38.89628,33.57292,36.89413,33.66321,32.10457,1
48,33.18902523,38.46163,34.05693,36.33043,33.45978,32.45241,1
49,33.65028971,35.79973,34.00034,36.31583,33.79821,32.98937,0
50,32.56502892,37.5741,33.8805,35.55455,32.87109,30.56966,1
51,34.12939857,37.04982,34.70098,36.26757,31.94609,33.23535,1
52,32.97349465,37.61854,33.61291,37.12633,34.43402,32.50433,1
53,31.76926458,37.64033,32.92764,38.57364,32.54128,31.63315,0
54,33.51371062,37.87352,33.62313,35.84871,33.29085,32.31606,1
55,34.16001659,38.75519,34.15293,38.08415,33.29908,28.14961,1
56,34.08720581,39.57933,34.17307,35.75165,32.66897,32.96794,1
57,32.6354152,36.22042,34.55777,36.33206,33.05159,32.72543,1
58,33.65426379,38.67991,33.21675,37.35644,34.18644,32.82193,1
59,33.23357565,37.43247,34.44878,35.27672,32.61467,31.96733,1
60,32.69287125,38.51066,33.50326,37.04182,33.26828,32.08517,0
61,33.31073448,38.90965,33.14441,35.63967,33.18978,30.60934,1
62,33.92542032,38.46541,34.62161,36.63175,33.34938,31.25543,0
63,33.37628873,37.82288,33.66074,36.32098,32.56093,31.93458,1
64,33.3187346,38.40417,33.69261,35.64189,33.13687,32.01212,1
65,33.0694473,37.75583,34.13897,36.38814,34.16652,32.21729,0
66,33.29049007,39.05518,33.72929,36.22927,33.07771,31.44407,1
67,33.03107947,38.88413,34.18379,37.28206,33.13779,32.11154,1
68,33.36681775,36.82536,34.76848,36.09734,33.33153,32.7919,1
69,34.26226534,38.59968,34.65996,34.86892,33.87982,32.81428,1
70,33.17832614,38.43102,33.56508,36.34673,33.77679,34.248,1
71,32.73590047,36.29691,34.22396,37.15841,33.2127,32.52093,0
72,34.28301329,38.32758,34.59316,34.53776,33.17304,32.5418,1
73,34.5520859,35.82046,34.92875,36.94862,33.03811,32.80961,1
74,32.95840513,37.0014,33.49172,36.42737,33.31362,32.05989,0
75,34.17763604,38.96583,33.54988,38.18412,33.01577,32.36286,1
76,34.03974263,39.8096,33.37723,35.70237,33.43912,32.03419,1
77,32.38650324,37.92872,33.47433,37.21806,32.8186,30.49254,1
78,32.99649992,38.65327,33.74632,35.97244,33.0421,31.94063,0
79,34.86485689,38.27605,34.77988,34.45281,33.10088,32.52772,0
80,33.74145712,39.6193,33.5835,36.65923,33.60715,32.45828,1
81,34.08906636,38.33406,33.24561,37.08126,32.48108,32.66118,1
